lng,lat
-6.614621,62.325956
-6.611874,62.324521
-6.609985,62.323484
-6.608869,62.322886
-6.60741,62.32185
-6.606637,62.320813
-6.605607,62.320733
-6.604749,62.320095
-6.60389,62.319138
-6.603633,62.31866
-6.602517,62.318261
-6.602001,62.317304
-6.598568,62.314353
-6.598739,62.313915
-6.596507,62.3122
-6.596765,62.311721
-6.595219,62.310844
-6.595305,62.310325
-6.594275,62.308451
-6.592043,62.304087
-6.591356,62.302571
-6.59127,62.301693
-6.591528,62.300177
-6.5917,62.298621
-6.591442,62.297304
-6.591957,62.295708
-6.592129,62.294886
-6.592644,62.293529
-6.599855,62.295485
-6.600971,62.303425
-6.611617,62.315151
-6.622346,62.322942
-6.614621,62.325956
